کرمانشاه,05,576861,1952434,964419,988015,2,00
اسلام آبادغرب,0501,40911,140876,69507,71369,3,05
کرمانشاه,0502,323291,1083833,535507,548326,3,05
پاوه,0503,18471,60431,29972,30459,3,05
سرپل ذهاب,0504,23696,85342,42468,42874,3,05
سنقر,0505,25554,81661,40476,41185,3,05
قصرشيرين,0506,6903,23929,11182,12747,3,05
کنگاور,0507,23253,76216,37799,38417,3,05
گيلانغرب,0508,16570,57007,28177,28830,3,05
جوانرود,0509,20592,75169,36875,38294,3,05
صحنه,0510,21788,70757,35042,35715,3,05
هرسين,0511,22506,78350,38806,39544,3,05
ثلاث باباجاني,0512,9270,35219,17231,17988,3,05
دالاهو,0513,10266,35987,18100,17887,3,05
روانسر,0514,13790,47657,23277,24380,3,05
ده کريشه,0501047069,156,598,272,326,4,0501
مزرعه قلندرلکي,0501047074,0,0,0,0,4,0501
سياه خور,0501047135,140,490,242,248,4,0501
کريم حاصله عليا,0501047149,4,11,7,4,4,0501
لريني اجوداني,0501047156,69,245,116,129,4,0501
دلو حسن آباد,0501047068,139,453,240,213,4,0501
زينل خاني,0501047070,0,0,0,0,4,0501
فرح خاني,0501047071,46,159,83,76,4,0501
محمدعلي خاني,0501047072,112,359,165,194,4,0501
مزرعه نساردکاکين,0501047075,0,0,0,0,4,0501
کريم حاصله سفلي,0501047150,20,72,39,33,4,0501
مزرعه محمدعلي خاني,0501047531,0,0,0,0,4,0501
حسن اباد,0501047066,276,913,466,447,4,0501
مزرعه تپه ميمونه,0501047073,0,0,0,0,4,0501
مزرعه ميان رود,0501047076,0,0,0,0,4,0501
انباروزارت راه,0501047063,0,0,0,0,4,0501
تنگ شوهان سفلي,0501047064,129,455,237,218,4,0501
تنگ شوهان عليا,0501047065,160,514,253,261,4,0501
دارخورحسن اباد,0501047067,61,203,106,97,4,0501
باقرابادسفلي,0501047520,158,607,309,298,4,0501
باقرابادعليا,0501047521,160,564,284,280,4,0501
کمره عليا,0501047570,82,302,144,158,4,0501
شاهيني,0501047562,92,357,164,193,4,0501
سراب شاهيني,0501047559,45,168,83,85,4,0501
شيت کمرزرد,0501047564,61,232,114,118,4,0501
انجيرک,0501352895,212,790,377,413,4,0501
کمرزرد,0501047567,172,618,311,307,4,0501
گرگي مندرک,0501047571,115,415,220,195,4,0501
مندرک,0501047573,66,254,131,123,4,0501
توه خشکه,0502049022,11,30,17,13,4,0502
چشمه گچ,0502049027,131,477,239,238,4,0502
ده عباسيان,0502049038,27,73,35,38,4,0502
سه چکان مله شاهي,0502049048,65,238,114,124,4,0502
قاپقوي,0502049053,78,289,125,164,4,0502
انجيرک,0502049014,27,90,44,46,4,0502
چنارسفلي,0502049028,11,37,16,21,4,0502
دره بادام سفلي,0502049034,7,20,8,12,4,0502
دره بادام عليا,0502049035,7,35,20,15,4,0502
دول معصوم,0502049037,15,54,25,29,4,0502
زنيلان عليا,0502049040,28,104,55,49,4,0502
زنيلان سفلي,0502049041,27,99,55,44,4,0502
سراييلان سرقلعه,0502049045,26,108,45,63,4,0502
سگري,0502049046,0,0,0,0,4,0502
گاومره,0502049059,29,98,41,57,4,0502
گلستان,0502049061,44,148,68,80,4,0502
فريادرس,0502049066,5,15,8,7,4,0502
ملک حسن ياريجان,0502049068,11,34,15,19,4,0502
نوراز,0502049072,4,18,10,8,4,0502
ياريجان سفلي,0502049075,9,33,15,18,4,0502
ياريجان عليا,0502049076,29,92,44,48,4,0502
تازه ابادسراييلان,0502049020,23,82,42,40,4,0502
چشمه کبودچنار,0502049024,25,81,36,45,4,0502
چنارعليا,0502049029,12,45,17,28,4,0502
چناروسطي,0502049030,25,87,31,56,4,0502
دوردشت,0502049036,60,188,96,92,4,0502
ده موسي,0502049039,45,146,70,76,4,0502
بان رمضان,0502049015,21,82,38,44,4,0502
پرگلي سفلي,0502049017,9,27,14,13,4,0502
پرگلي عليا,0502049018,18,76,43,33,4,0502
چشمه سرخ قبربابا,0502049023,10,44,24,20,4,0502
چشمه کبودعليا,0502049026,9,33,16,17,4,0502
دارونه,0502049033,5,16,5,11,4,0502
سراب کريان,0502049042,26,83,44,39,4,0502
سرزل,0502049044,28,116,65,51,4,0502
سولاب,0502049047,0,0,0,0,4,0502
شاه ولي,0502049049,0,0,0,0,4,0502
شجاع,0502049050,4,18,6,12,4,0502
طويله سفلي,0502049051,0,0,0,0,4,0502
طويله عليا,0502049052,6,22,12,10,4,0502
قلعه سرخ,0502049054,12,53,20,33,4,0502
کريان,0502049055,20,72,34,38,4,0502
کلک سفلي,0502049056,0,0,0,0,4,0502
کلک عليا,0502049057,0,0,0,0,4,0502
گله زرد,0502049058,4,11,6,5,4,0502
گراب,0502049060,0,0,0,0,4,0502
گلان,0502049063,0,0,0,0,4,0502
لاله بگ,0502049064,5,18,5,13,4,0502
مزرعه دهران,0502049067,0,0,0,0,4,0502
ميانرود,0502049070,7,28,12,16,4,0502
ميرحسن,0502049071,33,116,64,52,4,0502
ورگچگه زيد علي,0502049074,0,0,0,0,4,0502
ملک زيد قلعه چهر,0502351790,0,0,0,0,4,0502
بربلوطستان پلکانه,0502049016,15,55,26,29,4,0502
تازه ابادخليفه,0502049019,0,0,0,0,4,0502
تلل,0502049021,45,167,80,87,4,0502
چشمه کبودسفلي,0502049025,6,32,14,18,4,0502
خوبياران سفلي,0502049031,15,63,26,37,4,0502
خوبياران عليا,0502049032,64,239,107,132,4,0502
سرجوب,0502049043,60,230,115,115,4,0502
گليانه علي باقر,0502049062,78,288,151,137,4,0502
مارخور,0502049065,4,18,7,11,4,0502
مي مي,0502351791,0,0,0,0,4,0502
خرس ابادبزرگ,0502048488,28,110,49,61,4,0502
خرس اباد آقا جعفري,0502048489,23,75,34,41,4,0502
خرس ابادکوچک,0502048490,0,0,0,0,4,0502
داردرفش ابراهيم بيگي,0502048494,23,80,45,35,4,0502
داردرفش خانم آباد,0502048495,15,53,25,28,4,0502
داردرفش سيدکريم,0502048496,22,73,32,41,4,0502
داردرفش فرج اله بيگي,0502048497,6,30,14,16,4,0502
داردرفش قلعه,0502048498,47,147,67,80,4,0502
داردرفش محمدامين ميرزا,0502048499,59,212,103,109,4,0502
ده قاسم,0502048505,25,89,48,41,4,0502
قزقبري ابراهيم,0502048526,21,80,44,36,4,0502
قزقبري بهادر,0502048527,9,26,13,13,4,0502
قزقبري دکترحبيب,0502048528,23,72,33,39,4,0502
قزقبري جهان بخش,0502048529,9,30,16,14,4,0502
گلالي جديد,0502048544,16,56,26,30,4,0502
قزقنبري رشيد علي,0502350219,12,34,13,21,4,0502
پتي اباد,0502048464,12,46,21,25,4,0502
تنوردول,0502048476,64,219,112,107,4,0502
سفيدچقاسرکن,0502048514,0,0,0,0,4,0502
شهرک سراب نيلوفر,0502048521,271,919,446,473,4,0502
کوربلاغ دو,0502048537,28,104,48,56,4,0502
کوربلاغ يک,0502048538,30,99,48,51,4,0502
کهريزکوربلاغ,0502048540,27,99,48,51,4,0502
گلالي,0502048543,48,169,81,88,4,0502
سرکن,0502048556,17,50,24,26,4,0502
